state,constituency,candidate,party,total_votes,year,vote_share,vote_margin,swing_votes,total_constituency_votes,voter_turnout,turnout_impact,winner,winner_party,prev_winner_party,incumbent
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Manoranjan Bhakta,INC,85794,2004,55.77376889,30500,,153825,55.77376889,0.999999821,1,INC,Bharatiya Janata Party,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bishnu Pada Ray,BJP,55294,2004,35.94604258,51119,,153825,35.94604258,0.999999722,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Tapan Kumar Bepari,CPM,4175,2004,2.714123192,1811,,153825,2.714123192,0.999996316,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,R S Uma Bharathy,NCP,2364,2004,1.536811312,916,,153825,1.536811312,0.999993493,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N K P Nair,CPI(ML)(L),1448,2004,0.941329433,262,,153825,0.941329433,0.999989377,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Deepak Biswas,IND,1186,2004,0.771006013,64,,153825,0.771006013,0.99998703,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,A K Biswas,BSP,1122,2004,0.729400293,431,,153825,0.729400293,0.99998629,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Dr Shanmugam,LJNSP,691,2004,0.449211767,148,,153825,0.449211767,0.999977739,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Gour Chandra Majumder,IND,543,2004,0.352998537,20,-0.418007476,153825,0.352998537,0.999971672,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Asit Baran Dutta,IND,523,2004,0.33999675,136,-0.013001788,153825,0.33999675,0.999970589,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K Kalimuthu,IND,387,2004,0.251584593,89,-0.088412157,153825,0.251584593,0.999960254,0,INC,INC,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K Perumal,SWD,298,2004,0.193726637,298,,153825,0.193726637,0.999948384,0,INC,INC,0
